"Downloaded on",01/02/2026,"20:55:03 EST"
"Search URL",https://www.congress.gov/search?q=%7B%22congress%22%3A%5B%22119%22%5D%2C%22source%22%3A%22all%22%2C%22bill-status%22%3A%22law%22%7D

"Legislation Number",URL,Congress,Title,Sponsor,"Date of Introduction",Committees,"Latest Action","Latest Action Date","Number of Cosponsors","Amends Bill","Date Offered","Date Submitted","Date Proposed","Amends Amendment"
"H.J.Res. 60",https://www.congress.gov/bill/119th-congress/house-joint-resolution/60,"119th Congress (2025-2026)","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the National Park Service relating to ""Glen Canyon National Recreation Area: Motor Vehicles"".","Maloy, Celeste [Rep.-R-UT-2]",02/21/2025,"House - Natural Resources","Became Public Law No: 119-13.",05/23/2025,3,,,,,
"H.J.Res. 42",https://www.congress.gov/bill/119th-congress/house-joint-resolution/42,"119th Congress (2025-2026)","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program for Appliance Standards: Certification Requirements, Labeling Requirements, and Enforcement Provisions for Certain Consumer Products and Commercial Equipment"".","Clyde, Andrew S. [Rep.-R-GA-9]",02/12/2025,"House - Energy and Commerce","Became Public Law No: 119-8.",05/09/2025,6,,,,,
"H.J.Res. 35",https://www.congress.gov/bill/119th-congress/house-joint-resolution/35,"119th Congress (2025-2026)","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Environmental Protection Agency relating to ""Waste Emissions Charge for Petroleum and Natural Gas Systems: Procedures for Facilitating Compliance, Including Netting and Exemptions"".","Pfluger, August [Rep.-R-TX-11]",02/04/2025,"House - Energy and Commerce","Became Public Law No: 119-2.",03/14/2025,19,,,,,
"H.J.Res. 25",https://www.congress.gov/bill/119th-congress/house-joint-resolution/25,"119th Congress (2025-2026)","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Internal Revenue Service relating to ""Gross Proceeds Reporting by Brokers That Regularly Provide Services Effectuating Digital Asset Sales"".","Carey, Mike [Rep.-R-OH-15]",01/21/2025,"House - Ways and Means","Became Public Law No: 119-5.",04/10/2025,9,,,,,
"H.J.Res. 24",https://www.congress.gov/bill/119th-congress/house-joint-resolution/24,"119th Congress (2025-2026)","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Walk-In Coolers and Walk-In Freezers"".","Bice, Stephanie I. [Rep.-R-OK-5]",01/16/2025,"House - Energy and Commerce","Became Public Law No: 119-7.",05/09/2025,10,,,,,
"H.J.Res. 20",https://www.congress.gov/bill/119th-congress/house-joint-resolution/20,"119th Congress (2025-2026)","Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Department of Energy relating to ""Energy Conservation Program: Energy Conservation Standards for Consumer Gas-fired Instantaneous Water Heaters"".","Palmer, Gary J. [Rep.-R-AL-6]",01/15/2025,"House - Energy and Commerce","Became Public Law No: 119-6.",05/09/2025,29,,,,,
"S. 2878",https://www.congress.gov/bill/119th-congress/senate-bill/2878,"119th Congress (2025-2026)","Great Lakes Fishery Research Reauthorization Act","Peters, Gary C. [Sen.-D-MI]",09/18/2025,"Senate - Environment and Public Works","Signed by President.",12/26/2025,1,,,,,
"S. 2392",https://www.congress.gov/bill/119th-congress/senate-bill/2392,"119th Congress (2025-2026)","Veterans’ Compensation Cost-of-Living Adjustment Act of 2025","Moran, Jerry [Sen.-R-KS]",07/23/2025,"Senate - Veterans' Affairs","Became Public Law No: 119-42.",11/25/2025,22,,,,,
"S. 2283",https://www.congress.gov/bill/119th-congress/senate-bill/2283,"119th Congress (2025-2026)","A bill to designate the facility of the United States Postal Service located at 201 West Oklahoma Avenue in Guthrie, Oklahoma, as the ""Oscar J. Upham Post Office"".","Lankford, James [Sen.-R-OK]",07/15/2025,"Senate - Homeland Security and Governmental Affairs","Became Public Law No: 119-59.",12/18/2025,1,,,,,
"S. 1596",https://www.congress.gov/bill/119th-congress/senate-bill/1596,"119th Congress (2025-2026)","Jocelyn Nungaray National Wildlife Refuge Act","Cornyn, John [Sen.-R-TX]",05/05/2025,"Senate - Environment and Public Works","Became Public Law No: 119-30.",07/24/2025,1,,,,,
